年度,YN,YR,CR,XR,MR,PY,PC,PG,PI,PH,PX,PM,KN_N,KN_F,KN_G,KN_H,IR_N,IR_H,N_N,UN,W,TIN_N,TD_N,T_H,B2_N,Y_H,YDR_H,NSA_N,NSA_H,NSA_W,ASSET_N,LIAB_F,LIAB_H,NWR_H,RRB,RRL,PHS,CN,GN,XN,MN,IN_N,IN_F,IN_G,IN_H,IN_SUM,IR_SUM,TB,TBR,B2,B2_F,B2_G,B2_H,WB_N,WB_H,WB_W,YFN,WS,ULC,D_N,D_H,UNR,N_H,KR_N,KR_H,S_N,NL_N,S_F,NL_F,S_G,NL_G,S_H,NL_H,S_W,NL_W,NL_CB,T_G,SBEN_H,SCON_H,STR_H,STR_G,YD_H,FNWL_N,FNWLR_N,TOTAL_N,FNWL_CB,FNWLR_CB,TOTAL_CB,FNWL_F,FNWLR_F,TOTAL_F,FNWL_G,FNWLR_G,TOTAL_G,FNWL_H,FNWLR_H,TOTAL_H,FNWL_W,FNWLR_W,TOTAL_W,NW_N,NWR_N,NW_F,NWR_F,NW_G,NWR_G,NW_H,TOTAL_SUM,NGSHA_SUM,NGBA_SUM,NDEPA_SUM,NLBDA_SUM,NEQUA_SUM,NPENA_SUM,NNFWA_SUM,FA,FAB,MB,MS,SD,RRH,RRM,RCHI,RPSI,FINCOME_SUM,GDPMAX,GDPGAP
1994,511958.8,447936.9,290465.1,38685.5,48021.4,1.143,1.075,1.045,1.102,0.961,1.167,0.759,743997.4,7658.3,399461.0,397066.4,76491.37931,38711.134235,6455.0,194.0,40.710178,29358.1,19296.0,30826.4,121703.6,403562.9,346731.627907,186924.9,618426.4,1857.0,907830.1,1084735.9,1108391.7,1216945.953488,,,1.0,312266.3,35015.4,45159.4,36446.5,84293.5,1646.7,32822.8,37201.4,155964.4,141528.493648,8712.9,-9335.9,220811.4,14192.3,14139.2,70776.5,262784.2,262822.6,-38.4,483595.6,0.543397,0.586655,72483.9,26790.7,2.917732,6455.943253,675133.756806,397066.4,73630.3,-2994.0,13543.0,-2818.0,18611.1,-20672.0,63603.3,38722.8,-12428.4,-12238.8,,82139.6,49558.4,57155.5,33286.9,-37312.0,372736.5,-720905.2,-670609.488372,0.0,3546.6,3299.162791,0.0,-31420.4,-29228.27907,0.0,-81327.6,-75653.581395,0.0,911150.5,847581.860465,0.0,-81043.9,-75389.674419,0.0,23092.2,21481.116279,-23762.1,-22104.27907,318133.4,295938.046512,1308216.9,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,81043.9,12238.8,45540.1,830692.8,-994.9,,,,,,454230.637208,-1.385582
1995,525299.5,462177.3,297787.0,40286.6,55039.0,1.137,1.072,1.045,1.089,0.953,1.164,0.754,753217.1,7723.4,416461.3,399831.5,84918.82461,37410.493179,6456.0,216.0,41.35948,30260.7,20354.7,30392.5,125453.0,405987.1,350368.097015,195221.1,649082.3,10543.0,993353.4,1188182.2,1199543.3,1291154.477612,0.071,0.092207,0.985087,319163.3,36310.8,46887.1,41497.6,92476.6,1789.4,34517.8,35652.2,164436.0,150997.245179,5389.5,-14752.4,223677.6,13840.1,14726.5,69658.1,267016.8,267095.2,-78.4,490694.4,0.544161,0.577737,72358.6,26965.5,3.23741,6457.897993,691659.412305,405884.609259,79348.7,-7399.3,13809.7,1778.2,17741.5,-21855.2,58860.3,36864.5,-9668.6,-9388.2,-996.2,83615.0,53591.0,60977.6,34789.9,-38703.0,375594.6,-798132.3,-744526.399254,0.0,4037.7,3766.511194,0.0,-2449.1,-2284.608209,0.0,-101814.3,-94976.026119,0.0,984286.1,918177.33209,0.0,-85928.1,-80156.809701,0.0,-44915.2,-41898.507463,5274.3,4920.05597,314647.0,293513.992537,1384117.6,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,85928.1,9388.2,49215.8,871378.6,4344.4,0.002791,0.032131,0.015914,0.05613,-2e-06,461865.781233,0.067448
1996,538659.6,475806.1,305283.4,42903.6,60033.8,1.132,1.077,1.053,1.083,0.963,1.197,0.829,775705.6,8030.2,440730.2,416861.5,89540.073869,40226.583593,6512.0,225.0,41.897221,31056.3,21120.9,29501.3,132250.3,411606.9,354787.000929,189657.8,678506.5,21201.7,963899.2,1247627.8,1224394.6,1311277.808728,0.056969,0.078008,0.999555,328723.6,36848.1,51374.5,49750.8,96971.9,1960.8,33793.4,38738.2,171464.3,158323.45337,1623.7,-17130.2,232564.4,15380.9,15365.2,69567.9,272834.7,272962.4,-127.7,505399.1,0.53984,0.573416,73815.5,27493.1,3.339765,6515.050322,716256.325023,417047.098428,88918.8,-491.1,14248.5,2739.0,17768.7,-22870.8,55694.8,27579.1,-7370.9,-6956.2,-615.3,85922.4,54833.4,62109.7,37398.3,-40843.0,382105.6,-774241.4,-718887.093779,0.0,5014.0,4655.524605,0.0,15871.4,14736.675952,0.0,-136861.5,-127076.601671,0.0,995384.7,924219.777159,0.0,-105167.2,-97648.282266,0.0,1464.2,1359.517177,23901.6,22192.75766,303868.7,282143.63974,1412246.2,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,105167.2,6956.2,52662.9,890932.6,2204.2,-0.004664,0.022951,0.003307,0.043968,-0.0,475469.003185,0.070898
1997,542508.0,475217.3,302281.1,46745.3,58835.2,1.142,1.092,1.054,1.084,0.974,1.215,0.849,789707.7,8413.8,459277.0,423410.6,92444.188192,34324.024641,6557.0,236.0,42.538493,32979.9,21147.4,30736.8,123853.6,421405.5,357755.21978,187175.2,715774.7,21052.8,943717.4,1281620.4,1267863.5,1326520.695971,0.039423,0.061312,1.002544,330151.4,38035.9,56808.4,49979.7,100209.5,2093.9,31757.0,33431.6,167492.0,154512.915129,6828.7,-12089.9,227006.6,15203.3,16096.0,71853.7,278924.9,279054.2,-129.3,505931.5,0.55131,0.586942,76268.2,28128.4,3.474165,6560.0396,728512.638376,422336.289431,81863.9,-5273.6,15557.2,3831.1,17947.3,-17369.3,61690.2,31062.8,-13163.2,-12251.0,-213.4,87135.5,57964.9,64150.0,39523.7,-41406.1,390668.7,-756542.2,-692804.212454,0.0,5394.2,4939.74359,0.0,12613.5,11550.824176,0.0,-159027.4,-145629.487179,0.0,1025150.0,938782.051282,0.0,-127588.1,-116838.919414,0.0,33165.5,30371.336996,21027.3,19255.769231,300249.6,274953.846154,1448560.6,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,127588.1,12251.0,58614.5,925446.4,3596.6,-0.013928,0.009636,-0.005219,0.031816,0.0,482294.882177,-1.46748
1998,534564.1,470507.4,303680.0,44991.6,54978.2,1.136,1.089,1.041,1.067,0.953,1.203,0.811,789146.1,8763.3,465872.2,418589.8,85831.771321,31306.190976,6495.0,294.0,42.068853,35019.9,17616.8,26712.4,122468.4,415814.5,357302.203857,193431.7,742633.3,27582.6,955604.0,1319516.2,1317713.1,1367464.554637,0.050527,0.067641,0.986432,330638.3,38529.6,54129.4,44593.9,91582.5,2166.8,32276.6,29834.8,155860.7,146073.758201,9535.5,-9986.6,223563.9,14921.2,16325.6,69848.8,273237.2,273370.2,-133.0,496801.1,0.549993,0.580729,77626.6,27833.9,4.330535,6498.161484,739593.345829,424347.163573,85062.0,31797.4,13354.4,3786.0,9104.9,-57597.3,59945.8,34254.7,-14349.5,-12240.8,927.6,82792.1,59971.3,64865.7,42795.8,-44730.0,389102.1,-762172.3,-699882.736455,0.0,5729.3,5261.065197,0.0,11591.9,10644.536272,0.0,-190254.1,-174705.325987,0.0,1070579.1,983084.573003,0.0,-135473.9,-124402.112029,0.0,26973.8,24769.32966,20355.2,18691.64371,275618.1,253092.837466,1489168.9,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,135473.9,12240.8,61456.9,958012.3,2743.1,0.002747,0.021934,0.016251,0.045165,0.0,481828.785927,-2.34967
1999,530298.6,473320.1,309036.3,47750.7,58613.9,1.12,1.08,1.026,1.052,0.945,1.106,0.768,786583.9,8782.1,476801.2,416452.4,81946.387833,31403.280423,6455.0,320.0,41.679597,35146.7,16179.5,25892.8,122081.5,416135.7,361336.018519,201022.6,763500.9,11513.8,1028660.4,1342176.3,1392261.9,1434154.259259,0.048983,0.072708,0.976057,333650.0,39144.4,52827.0,45010.6,86207.6,2028.1,31776.1,29676.1,149687.9,142288.878327,7816.4,-10863.2,225680.3,14992.9,16373.5,72232.5,269041.8,269177.0,-135.2,494722.1,0.543824,0.568414,77711.2,27470.4,4.723247,6458.243793,747703.326996,426668.171592,88675.0,36284.9,14100.2,-6175.9,2673.4,-38429.6,57414.5,20358.9,-13605.0,-12038.3,-1045.4,80113.6,62198.3,64299.0,47566.4,-48242.1,390242.9,-827637.8,-766331.296296,0.0,3347.4,3099.444444,0.0,5165.8,4783.148148,0.0,-225400.0,-208703.703704,0.0,1132434.2,1048550.185185,0.0,-87909.6,-81397.777778,0.0,-41053.9,-38012.87037,13947.9,12914.722222,251401.2,232778.888889,1548886.6,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,87909.6,12038.3,79418.5,986053.8,429.8,0.008264,0.026795,0.017139,0.047365,-0.0,485903.001646,-2.589591
2000,537614.2,485623.0,315093.3,52403.3,64668.3,1.107,1.072,1.024,1.04,0.942,1.078,0.777,795111.6,8749.4,489822.1,417722.7,89114.326923,31265.392781,6453.0,319.0,41.935487,34443.3,17334.1,29651.0,133448.6,416799.6,361146.08209,197717.5,775280.4,14176.3,944157.0,1356301.6,1407862.0,1456942.723881,0.037769,0.060646,0.97379,337711.4,39763.9,56468.4,50243.7,92678.9,2224.9,29558.3,29452.0,153914.1,147994.326923,6224.7,-12265.0,235118.8,15679.0,16671.2,69320.1,270609.7,270736.4,-126.7,505728.5,0.535089,0.557242,77918.0,27237.6,4.710573,6456.018923,764530.384615,428965.956048,102281.3,11418.3,13348.1,17862.6,4640.6,-31839.6,49782.2,15487.3,-13580.4,-12928.6,740.0,84846.4,63024.9,64593.6,50318.1,-50694.4,387148.6,-746439.5,-696305.503731,0.0,5614.1,5237.033582,0.0,2817.8,2628.544776,0.0,-268537.2,-250501.119403,0.0,1144119.9,1067276.026119,0.0,-136782.6,-127595.708955,0.0,48672.1,45403.078358,11567.2,10790.298507,221284.9,206422.481343,1561842.6,0.0,792.5,-0.0,0.0,0.0,-0.0,0.0,-792.5,136782.6,12928.6,67694.0,997492.7,-2557.6,0.007407,0.017148,0.011574,0.042321,-2e-06,492681.434638,-1.432657
2001,527410.5,482113.5,321515.4,48405.3,62626.2,1.094,1.057,1.049,1.02,0.93,1.101,0.79,790287.0,8915.3,493469.1,412179.9,83397.647059,29003.225806,6389.0,348.0,41.39651,34078.7,16556.6,28543.7,123974.7,404559.6,355738.789026,201631.6,793308.0,16087.3,871002.3,1360313.6,1416454.5,1475962.346263,0.040644,0.058354,0.959972,339782.5,41473.3,53278.8,49478.0,85065.6,2558.8,27756.5,26973.0,142353.9,139562.647059,3800.8,-14220.9,226545.6,19037.8,16681.6,66851.6,264482.3,264606.8,-124.5,491027.9,0.53863,0.548589,77689.9,26743.7,5.165504,6392.0075,774791.176471,429366.6548,95132.8,21625.9,17840.1,13185.9,1028.8,-37366.5,37448.1,13561.0,-11399.8,-11006.3,1020.2,82176.2,66067.3,68212.8,51203.3,-52000.4,376015.9,-669370.7,-633274.077578,0.0,7140.2,6755.156102,0.0,-17067.6,-16147.209082,0.0,-290434.7,-274772.658467,0.0,1147912.3,1086009.74456,0.0,-177195.5,-167640.018921,0.0,120916.3,114395.742668,-8152.3,-7712.677389,203034.4,192085.525071,1560092.2,0.0,984.0,0.0,0.0,0.0,-0.0,0.0,-984.0,177195.5,11006.3,98564.5,1018253.5,2303.9,0.013993,0.021302,0.020623,0.04768,-0.0,492063.183264,-2.022034
2002,523465.9,486545.5,325740.5,54319.0,65643.7,1.076,1.043,1.042,1.001,0.92,1.066,0.781,783893.8,9000.2,499013.3,408165.4,80158.041958,28476.521739,6318.0,360.0,40.61597,33874.1,15019.8,24581.9,128570.0,397197.1,357253.307766,198383.5,792364.8,22688.7,833059.4,1347177.9,1418288.1,1502554.458293,0.035584,0.053132,0.950289,339652.6,41850.0,57879.7,51298.2,80238.2,2527.5,26417.7,26198.4,135381.8,135246.553447,6581.5,-11324.7,232523.4,20811.2,16646.3,66495.9,256611.7,256723.4,-111.7,489135.1,0.524623,0.527416,77426.7,26222.0,5.390836,6320.75015,783110.689311,429516.934726,102128.5,28225.7,20150.5,10761.6,-7614.0,-36680.9,33404.9,10475.6,-13144.9,-12782.0,-871.8,75349.6,68716.0,68522.6,53044.1,-53997.0,372615.2,-634675.9,-608509.971237,0.0,7913.3,7587.056568,0.0,-14949.5,-14333.173538,0.0,-335813.2,-321968.552253,0.0,1158998.9,1111216.586769,0.0,-180493.1,-173051.869607,0.0,149217.9,143066.059444,-5949.3,-5704.026846,163200.1,156471.812081,1567164.3,0.0,980.5,0.0,0.0,0.0,-0.0,0.0,-980.5,180493.1,12782.0,105140.3,1010017.2,456.7,0.013245,0.020982,0.025079,0.045049,1e-06,492802.454318,-1.269668
2003,526219.9,495922.8,328672.1,59757.5,67247.6,1.061,1.032,1.031,0.987,0.919,1.03,0.773,785983.7,9695.3,510610.3,408502.0,84083.485309,27824.809576,6320.0,342.0,40.111693,33264.5,15879.2,23250.5,134516.1,395026.9,360248.449612,206175.9,803508.8,24526.1,831718.0,1359399.6,1448914.6,1542934.399225,0.02932,0.045468,0.951997,339251.7,42311.7,61576.6,51970.0,82990.4,2799.7,23688.8,25571.0,135049.9,136828.672746,9606.6,-7490.1,240758.7,22211.7,16725.3,67305.6,253505.9,253616.6,-110.7,494264.6,0.512895,0.51118,76700.0,25931.4,5.133594,6322.759794,796336.068896,429100.062896,110014.8,42348.4,21477.6,9432.7,-10436.6,-38837.0,33133.8,4326.6,-17830.5,-17270.7,-591.0,73844.8,66378.9,65906.0,53843.6,-55228.1,371776.4,-625542.1,-606145.445736,0.0,4303.2,4169.767442,0.0,-36393.2,-35264.728682,0.0,-360569.8,-349389.341085,0.0,1183806.3,1147099.127907,0.0,-164520.7,-159419.282946,0.0,160441.6,155466.666667,-26697.9,-25870.05814,150040.5,145388.081395,1592308.3,0.0,1083.7,0.0,0.0,-0.0,-0.0,-0.0,-1083.7,164520.7,17270.7,110896.2,1037535.4,-1309.2,0.010547,0.017714,0.023238,0.039912,-0.0,499181.835912,-0.652876
