年度,NGSHACG_N,NGBACG_N,NDEPACG_N,NLBDACG_N,NEQUACG_N,NPENACG_N,NNFWACG_N,NGSHACG_CB,NGBACG_CB,NDEPACG_CB,NLBDACG_CB,NEQUACG_CB,NPENACG_CB,NNFWACG_CB,NGSHACG_F,NGBACG_F,NDEPACG_F,NLBDACG_F,NEQUACG_F,NPENACG_F,NNFWACG_F,NGSHACG_G,NGBACG_G,NDEPACG_G,NLBDACG_G,NEQUACG_G,NPENACG_G,NNFWACG_G,NGSHACG_H,NGBACG_H,NDEPACG_H,NLBDACG_H,NEQUACG_H,NPENACG_H,NNFWACG_H,NGSHACG_W,NGBACG_W,NDEPACG_W,NLBDACG_W,NEQUACG_W,NPENACG_W,NNFWACG_W
1995,-0.0,-421.5,-0.0,-16024.3,-48176.0,-5206.0,69827.8,-0.0,1022.3,0.0,465.0,0.0,0.0,-1487.3,0.0,2825.3,-1399.1,19862.1,7517.6,-2609.0,-26196.9,16.7,-3953.6,71.3,3397.4,1836.7,0.0,-1368.5,0.0,51.3,-0.0,3971.0,24433.8,7815.0,-36271.1,-16.7,476.2,1327.8,-11671.2,14387.9,0.0,-4504.0
1996,0.0,-356.6,-0.0,4813.0,30499.7,-10574.1,-24382.0,-0.0,1129.0,0.0,462.6,0.0,0.0,-1591.6,-0.0,6295.5,-1657.4,1873.2,5587.5,2867.4,-14966.2,15.6,-9456.7,75.2,-1315.5,-1495.0,0.0,12176.4,-0.0,198.0,0.0,4375.5,-28760.7,7706.7,16480.5,-15.6,2190.8,1582.2,-10208.8,-5831.5,0.0,12282.9
1997,-0.0,-997.3,206.3,23587.3,15033.1,-14856.6,-22972.8,0.0,775.5,-0.0,-181.9,0.0,0.0,-593.6,0.0,4867.1,-359.1,-9582.8,-2453.4,225.8,7302.4,11.6,-12235.2,-142.9,1396.1,6173.8,0.0,4796.6,0.0,114.7,-30.7,-733.2,-15279.1,14630.8,1297.5,-11.6,7475.2,326.4,-14485.5,-3474.4,0.0,10169.9
1998,0.0,-57.0,0.0,9326.2,-39084.7,-7612.0,37427.5,-0.0,-196.2,0.0,-396.3,0.0,0.0,592.5,0.0,-2153.8,490.5,-10467.9,7025.2,1226.0,3880.0,-17.6,766.3,-108.0,-623.9,26353.8,0.0,-26370.6,-0.0,-253.2,0.0,1505.5,3536.1,6386.0,-11174.4,17.6,1893.9,-382.5,656.4,2169.6,0.0,-4355.0
1999,0.0,-808.5,0.0,8420.4,-115055.9,5693.6,101750.4,-0.0,-894.3,0.0,-442.2,0.0,0.0,1336.5,-0.0,-3963.8,91.2,-16687.5,26538.2,-7273.7,1295.6,-20.8,8320.0,-109.6,-9089.1,4183.2,0.0,-3283.7,0.0,-254.6,-0.0,-2122.0,42292.7,1580.1,-41496.2,20.8,-2398.8,18.4,19920.4,42041.8,0.0,-59602.6
2000,-0.0,-1133.3,-3413.8,19785.4,77983.0,-23441.3,-69780.0,744.5,963.3,45.8,-226.9,0.0,0.0,-1526.7,0.0,7766.7,-1059.1,-16423.1,-8146.2,-1608.9,19470.6,46.0,-6514.8,4765.4,-178.1,-9416.1,0.0,11297.6,-0.0,397.0,0.0,1980.3,-31229.1,25050.2,3801.6,2.0,-1478.9,-338.3,-4937.6,-29191.6,0.0,35944.4
2001,0.0,-347.6,-1.4,22981.9,48584.8,-15774.8,-55442.9,181.1,113.1,3.2,208.5,0.0,0.0,-505.9,-0.0,-8918.5,-479.3,-15487.1,-12886.6,5720.4,32051.1,16.4,11768.0,538.7,2341.6,804.3,0.0,-15469.0,0.0,-126.1,-0.0,1895.5,-21592.4,10054.4,9768.6,-6.0,-2488.9,-61.2,-11940.4,-14910.1,0.0,29406.6
2002,0.0,250.5,-635.0,-8014.2,44591.3,-29723.5,-6469.1,-3.3,3504.4,-4.0,-1825.9,-26.3,0.0,-1644.9,0.0,3478.8,11021.7,-22951.4,-11571.6,10507.2,9515.3,-2.0,-4903.2,-845.3,-1192.6,-1754.5,0.0,8697.6,0.0,174.5,-9644.3,5880.4,-15015.9,19216.3,-611.0,1.8,-2505.0,106.9,28103.7,-16223.0,0.0,-9484.4
2003,0.0,-394.3,0.0,12882.1,-83223.7,37521.3,33214.6,98.4,-3358.8,-5.2,-425.1,671.6,0.0,3019.1,0.0,-12702.7,1708.0,-10711.7,-4113.4,-5647.6,31467.4,-4.3,16547.4,-1975.6,-6830.7,6343.6,0.0,-14080.4,0.0,-447.7,0.0,432.1,52370.1,-31873.7,-20480.8,9.1,356.1,272.8,4653.3,27951.8,0.0,-33243.1
2004,649.7,5405.9,2250.8,-32355.7,-16427.0,4777.0,35699.3,39.6,2511.3,0.7,427.7,-25.4,0.0,-2953.9,-982.4,-9360.3,-2086.5,22517.1,-3682.3,2540.0,-8945.6,8.0,2570.6,2333.6,10623.1,1452.3,0.0,-16987.6,332.7,133.5,-1298.9,7709.4,18454.9,-7317.0,-18014.6,-6.2,-1261.0,-1199.7,-8921.6,227.5,0.0,11161.0
