年度,NGSHA_N,NGBA_N,NDEPA_N,NLBDA_N,NEQUA_N,NPENA_N,NNFWA_N,NGSHA_CB,NGBA_CB,NDEPA_CB,NLBDA_CB,NEQUA_CB,NPENA_CB,NNFWA_CB,NGSHA_F,NGBA_F,NDEPA_F,NLBDA_F,NEQUA_F,NPENA_F,NNFWA_F,NGSHA_G,NGBA_G,NDEPA_G,NLBDA_G,NEQUA_G,NPENA_G,NNFWA_G,NGSHA_H,NGBA_H,NDEPA_H,NLBDA_H,NEQUA_H,NPENA_H,NNFWA_H,NGSHA_W,NGBA_W,NDEPA_W,NLBDA_W,NEQUA_W,NPENA_W,NNFWA_W
1994,377.8,667.8,-244.9,-3883.3,-3005.1,3093.7,2994.0,3143.3,569.5,0.0,-3813.2,20.0,0.0,80.4,436.2,3506.3,-27718.9,38139.7,6218.6,-23319.5,2737.6,-5374.8,-9066.3,-961.1,-3429.9,-1839.9,0.0,20672.0,1602.5,1073.4,32887.3,-14233.1,-2833.1,20225.8,-38722.8,-185.0,3249.3,-3962.4,-12780.2,1439.5,0.0,12238.8
1995,466.2,-298.0,8549.5,-10658.1,-9011.4,3552.5,7399.3,-7271.4,10374.7,0.0,-4099.5,0.0,0.0,996.2,-632.8,14100.3,-43480.4,61496.5,-1722.7,-26986.5,-2774.4,3579.0,-23815.5,925.1,-5845.1,3301.3,0.0,21855.2,3768.6,-69.1,26905.1,-21987.0,4812.9,23434.0,-36864.5,90.4,-292.4,7100.7,-18906.8,2619.9,0.0,9388.2
1996,611.8,1204.3,-7022.8,7910.0,-6100.0,2905.6,491.1,-1638.4,5803.8,0.0,-4980.7,200.0,0.0,615.3,1217.7,10663.9,-22946.8,34252.0,-444.2,-19388.3,-3354.3,-1824.3,-19312.2,-2884.5,-1795.1,2945.3,0.0,22870.8,1642.8,451.9,27131.5,-18128.2,-1.6,16482.7,-27579.1,-9.6,1188.3,5722.6,-17258.0,3400.5,0.0,6956.2
1997,675.5,-703.0,-1664.1,-1783.5,-5637.0,3838.5,5273.6,-8348.5,8262.3,0.0,-127.2,0.0,0.0,213.4,2185.9,26173.0,-24325.5,9799.0,3003.8,-12791.7,-4044.5,2385.3,-32483.7,-1402.5,13603.1,528.5,0.0,17369.3,3110.3,312.0,33761.9,-12970.4,-2104.2,8953.2,-31062.8,-8.5,-1560.6,-6369.8,-8521.0,4208.9,0.0,12251.0
1998,373.8,1158.1,4781.6,25666.2,-3290.2,3107.9,-31797.4,236.1,658.0,-0.0,53.5,-20.0,0.0,-927.6,443.2,20851.4,-27932.7,27546.8,-5349.1,-12701.2,-2858.4,-3060.9,-29376.7,-244.5,-27025.3,2110.1,0.0,57597.3,1875.3,-651.2,25887.7,-5926.0,3475.6,9593.3,-34254.7,132.5,7360.4,-2492.1,-20315.2,3073.6,0.0,12240.8
1999,3056.2,2618.5,2724.7,27761.3,-2689.6,2813.8,-36284.9,-29067.2,-10837.0,0.0,38938.8,-80.0,0.0,1045.4,12627.0,63086.2,-14277.1,-45977.9,-12962.1,-7626.6,5130.5,11126.4,-49218.9,748.2,318.5,-1403.8,0.0,38429.6,2377.9,-499.8,19244.1,-10571.7,4995.6,4812.8,-20358.9,-120.3,-5149.0,-8439.9,-10469.0,12139.9,0.0,12038.3
2000,-1475.3,732.5,1984.8,15342.1,-8819.9,3654.1,-11418.3,1884.4,-3989.0,-35.7,2880.3,0.0,0.0,-740.0,-12835.6,34360.4,-5367.1,7761.8,1641.3,-8438.2,-17122.6,9049.6,-41376.2,1207.0,-2407.2,1687.2,0.0,31839.6,3396.6,3011.7,4974.2,-5894.7,5215.4,4784.1,-15487.3,-19.7,7260.6,-2763.2,-17682.3,276.0,0.0,12928.6
2001,652.5,-1646.3,5256.9,20217.4,-5184.5,2329.9,-21625.9,-21917.4,36285.6,42.0,-13390.0,0.0,0.0,-1020.2,23909.8,-22954.7,-23404.7,38449.7,1899.4,-5733.8,-12165.7,-9150.6,-8115.1,-1578.8,-22041.0,3519.0,0.0,37366.5,6501.9,2260.8,9391.0,-6695.6,-1301.0,3403.9,-13561.0,3.8,-5830.3,10293.6,-16540.5,1067.1,0.0,11006.3
2002,1082.0,1909.8,-5855.4,24448.9,4412.6,2227.8,-28225.7,-8265.5,1554.8,63.7,4607.2,1168.0,0.0,871.8,4366.1,13169.0,-4104.8,12220.9,-11847.5,-2170.3,-11633.4,1695.0,-21922.6,-1216.4,-22419.2,7182.3,0.0,36680.9,1122.8,-351.5,7755.3,3372.6,-1366.1,-57.5,-10475.6,-0.4,5640.5,3357.6,-22230.4,450.7,0.0,12782.0
2003,-2292.2,-1917.8,12396.7,39181.7,-6084.6,1064.6,-42348.4,-4306.0,11025.3,-82.6,-8008.4,780.7,0.0,591.0,5559.6,38300.1,-28360.1,6452.7,-10562.9,-1365.7,-10023.7,-1544.0,-52178.4,10608.3,2211.9,2065.2,0.0,38837.0,2581.5,2810.7,6199.5,-6251.2,-1315.0,301.1,-4326.6,1.1,1960.1,-761.8,-33586.7,15116.6,0.0,17270.7
