年度,NGSHSHARE_N,NGBSHARE_N,NDEPSHARE_N,NGSHSHARE_H,NGBSHARE_H,NDEPSHARE_H,NGSHSHARE_W,NGBSHARE_W,NDEPSHARE_W
1994,0.034772253456,0.021517197548,0.943710548996,0.04943466191,0.012585006073,0.937980332017,-0.116908992999,5.071243941842,-3.954334948842
1995,0.035682618324,0.016917228722,0.947400152955,0.052905925797,0.011963197887,0.935130876316,-0.013601441715,0.910661102153,0.102940339562
1996,0.039955119167,0.02188309682,0.938161784013,0.053032800717,0.01240223933,0.934564959952,-0.007952192513,0.612224491432,0.395727701081
1997,0.044093982536,0.013089340896,0.942816676568,0.054616906689,0.012352629955,0.933030463357,-0.008963178295,0.897495820033,0.111467358261
1998,0.044600238741,0.018358417984,0.937041343275,0.055166796318,0.01068804752,0.934145156163,-0.001399432976,1.020538310384,-0.019138877408
1999,0.058119335836,0.026669140684,0.91521152348,0.056773475971,0.009407847456,0.933818676573,-0.011994302489,1.789270266984,-0.777275964495
2000,0.051629218456,0.025087814685,0.923282966859,0.06029199242,0.013661637776,0.926046369804,-0.010990173741,1.861063888321,-0.85007371458
2001,0.053863084953,0.01471197967,0.931424935377,0.067117815527,0.01604206689,0.916840117584,-0.009821411921,1.122860890267,-0.113039478346
2002,0.060199058894,0.025842370963,0.913958570143,0.068614734022,0.01583778078,0.915547485199,-0.006902114268,0.934354987284,0.072547126984
2003,0.046806149506,0.013651450048,0.939542400445,0.070875888354,0.018558975334,0.910565136312,-0.005969151231,0.958794916436,0.047174234795
2004,0.042212306501,0.045897232703,0.911890460796,0.073786620996,0.027164007736,0.899049371268,-0.00499928533,0.987006622607,0.017992662724
2005,0.0460129382,0.055152269697,0.898834792103,0.073807847505,0.034749773137,0.891442379357,-0.004881415167,1.022960378864,-0.018078963696
2006,0.048124235984,0.053591405924,0.898284358092,0.074315611144,0.041034990229,0.884649398626,-0.004055784499,1.040178342763,-0.036122558264
2007,0.045449580699,0.064879428148,0.889670991153,0.074270801362,0.043345234235,0.882383964403,-0.0036504451,1.265049466333,-0.261399021232
2008,0.042196117961,0.060056472826,0.897747409213,0.074558920552,0.042356246934,0.883084832514,-0.003215920235,1.130598234717,-0.127382314482
2009,0.036527102693,0.073165909065,0.890306988242,0.075672927621,0.039970517361,0.884356555018,-0.003782484535,1.167288290121,-0.163505805586
2010,0.034343094334,0.07338087774,0.892276027926,0.077514107367,0.03559933177,0.886886560864,-0.002531984389,1.11952232306,-0.116990338671
2011,0.033682643606,0.072576086845,0.893741269549,0.07788021645,0.030658223258,0.891461560292,-0.000977727101,1.048770680305,-0.047792953204
2012,0.034651877691,0.067003332459,0.89834478985,0.079092851482,0.025909281552,0.894997866966,-0.001149766849,1.026565005711,-0.025415238862
2013,0.033418021947,0.070087544917,0.896494433136,0.080428937539,0.022326032085,0.897245030376,-0.001516970561,1.01491208324,-0.013395112679
2014,0.032604445953,0.063640480799,0.903755073248,0.082240504679,0.017369541977,0.900389953344,-0.001372146522,1.055342877716,-0.053970731194
2015,0.031009634469,0.056957186289,0.912033179241,0.087374049517,0.013427346444,0.899198604039,-0.000167116437,1.114669728405,-0.114502611968
2016,0.028265464496,0.044985804055,0.92674873145,0.090147167205,0.013365929185,0.89648690361,-0.00185290076,1.114373525486,-0.112520624726
2017,0.031561398071,0.039377613346,0.929060988582,0.091061765044,0.012923781892,0.896014453064,-0.001785931224,1.113243536163,-0.111457604939
2018,0.028666094228,0.037318150788,0.934015754984,0.093389011109,0.013497412575,0.893113576317,-0.00142454337,1.107761533031,-0.106336989661
2019,0.026855895261,0.034700320085,0.938443784654,0.09319479647,0.013739905883,0.893065297647,-0.001798694426,1.105851528929,-0.104052834504
2020,0.020974294834,0.026752702578,0.952273002587,0.095078332674,0.012479673055,0.892441994272,-0.001959554342,1.113267088184,-0.111307533841
2021,0.021416121977,0.024259825556,0.954324052467,0.095374128803,0.011534799562,0.893091071635,-0.003322609995,1.117497725353,-0.114175115357
2022,0.022708404088,0.026783654364,0.950507941548,0.094905370903,0.01152200698,0.893572622117,-0.001844455873,1.130397894057,-0.128553438184
2023,0.023143467895,0.020282902362,0.956573629743,0.092852044348,0.012031282447,0.895116673205,-0.000767486943,1.167392868425,-0.166625381482
