年度,NGSHA_N,NGBA_N,NDEPA_N,NLBDA_N,NEQUA_N,NPENA_N,NNFWA_N,NGSHA_CB,NGBA_CB,NDEPA_CB,NLBDA_CB,NEQUA_CB,NPENA_CB,NNFWA_CB,NGSHA_F,NGBA_F,NDEPA_F,NLBDA_F,NEQUA_F,NPENA_F,NNFWA_F,NGSHA_G,NGBA_G,NDEPA_G,NLBDA_G,NEQUA_G,NPENA_G,NNFWA_G,NGSHA_H,NGBA_H,NDEPA_H,NLBDA_H,NEQUA_H,NPENA_H,NNFWA_H,NGSHA_W,NGBA_W,NDEPA_W,NLBDA_W,NEQUA_W,NPENA_W,NNFWA_W
1994,6499.8,4022.1,176403.0,-674304.5,-210313.9,-23211.7,720905.2,-46499.5,35161.8,0.0,14864.2,20.1,0.0,-3546.6,8685.7,171351.4,-786278.1,915759.6,-11060.8,-329878.2,31420.4,959.4,-227735.5,37146.5,53424.4,54877.6,0.0,81327.6,30571.7,7782.9,580071.8,-197241.2,136875.4,353089.9,-911150.5,-217.1,9417.3,-7343.2,-112502.5,29601.6,0.0,81043.9
1995,6966.0,3302.6,184952.5,-700986.9,-267501.3,-24865.2,798132.3,-53770.9,46558.8,0.0,11229.7,20.1,0.0,-4037.7,8052.9,188277.0,-831157.6,997118.2,-5265.9,-359473.7,2449.1,4555.1,-255504.6,38142.9,50976.7,60015.6,0.0,101814.3,34340.3,7765.1,606976.9,-215257.2,166122.1,384338.9,-984286.1,-143.4,9601.1,1085.3,-143080.5,46609.4,0.0,85928.1
1996,7577.8,4150.3,177929.7,-688263.9,-243101.6,-32533.7,774241.4,-55409.3,53491.6,0.0,6711.6,220.1,0.0,-5014.0,9270.6,205236.4,-855761.8,1033243.4,-122.6,-375994.6,-15871.4,2746.4,-284273.5,35333.6,47866.1,61465.9,0.0,136861.5,35983.1,8415.0,634108.4,-229009.9,137359.8,408528.3,-995384.7,-168.6,12980.2,8390.1,-170547.3,44178.4,0.0,105167.2
1997,8253.3,2450.0,176471.9,-666460.1,-233705.5,-43551.8,756542.2,-63757.8,62529.4,-0.0,6402.5,220.1,0.0,-5394.2,11456.5,236276.5,-880446.4,1033459.6,427.8,-388560.5,-12613.5,5143.3,-328992.4,33788.2,62865.3,68168.2,0.0,159027.4,39093.4,8841.7,667839.6,-242713.5,119976.5,432112.3,-1025150.0,-188.7,18894.8,2346.7,-193553.8,44912.9,0.0,127588.1
1998,8627.1,3551.1,181253.5,-631467.7,-276080.4,-48055.9,762172.3,-63521.7,62991.2,0.0,6059.7,200.1,0.0,-5729.3,11899.7,254974.1,-907888.6,1050538.5,2103.9,-400035.7,-11591.9,2064.8,-357602.8,33435.7,35216.1,96632.1,0.0,190254.1,40968.7,7937.3,693727.3,-247134.0,126988.2,448091.6,-1070579.1,-38.6,28149.1,-527.9,-213212.6,50156.1,0.0,135473.9
1999,11683.3,5361.1,183978.2,-595286.0,-393825.9,-39548.5,827637.8,-92588.9,51259.9,0.0,44556.3,120.1,0.0,-3347.4,24526.7,314096.5,-922074.5,987873.1,15680.0,-414936.0,-5165.8,13170.4,-398501.7,34074.3,26445.5,99411.5,0.0,225400.0,43346.6,7182.9,712971.4,-259827.7,174276.5,454484.5,-1132434.2,-138.1,20601.3,-8949.4,-203761.2,104337.8,0.0,87909.6
2000,10208.0,4960.3,182549.2,-560158.5,-324662.8,-59335.7,746439.5,-89960.0,48234.2,10.1,47209.7,120.1,0.0,-5614.1,11691.1,356223.6,-928500.7,979211.8,9175.1,-424983.1,-2817.8,22266.0,-446392.7,40046.7,23860.2,91682.6,0.0,268537.2,46743.2,10591.6,717945.6,-263742.1,148262.8,484318.8,-1144119.9,-155.8,26383.0,-12050.9,-226381.1,75422.2,0.0,136782.6
2001,10860.5,2966.4,187804.7,-516959.2,-281262.5,-72780.6,669370.7,-111696.3,84632.9,55.3,34028.2,120.1,0.0,-7140.2,35600.9,324350.4,-952384.7,1002174.4,-1812.1,-424996.5,17067.6,13131.8,-442739.8,39006.6,4160.8,96005.9,0.0,290434.7,53245.1,12726.3,727336.6,-268542.2,125369.4,497777.1,-1147912.3,-158.0,18063.8,-1818.5,-254862.0,61579.2,0.0,177195.5
2002,11942.5,5126.7,181314.3,-500524.5,-232258.6,-100276.3,634675.9,-119965.1,89692.1,115.0,36809.5,1261.8,0.0,-7913.3,39967.0,340998.2,-945467.8,991443.9,-25231.2,-416659.6,14949.5,14824.8,-469565.6,36944.9,-19451.0,101433.7,0.0,335813.2,54367.9,12549.3,725447.6,-259289.2,108987.4,516935.9,-1158998.9,-156.6,21199.3,1646.0,-248988.7,45806.9,0.0,180493.1
2003,9650.3,2814.6,193711.0,-448460.7,-321566.9,-61690.4,625542.1,-124172.7,97358.6,27.2,28376.0,2714.1,0.0,-4303.2,45526.6,366595.6,-972119.9,987184.9,-39907.5,-423672.9,36393.2,13276.5,-505196.6,45577.6,-24069.8,109842.5,0.0,360569.8,56949.4,14912.3,731647.1,-265108.3,160042.5,485363.3,-1183806.3,-146.4,23515.5,1157.0,-277922.1,88875.3,0.0,164520.7
2004,9375.1,10193.5,202525.4,-451496.3,-344825.4,-53808.5,628036.2,-121391.1,99717.0,32.9,26454.2,2762.5,0.0,-7575.5,45632.5,372092.5,-972688.9,1016751.0,-47398.6,-429500.5,15112.0,7786.6,-533045.7,40132.3,733.7,110171.7,0.0,374221.4,59868.9,22040.3,729469.6,-269609.9,180348.6,483309.0,-1205426.5,-146.9,29002.4,528.7,-322832.7,98941.2,0.0,194507.3
2005,10518.3,12607.5,205468.6,-446020.7,-495192.2,-32567.7,745186.2,-115593.6,93029.5,57.0,27158.9,3944.9,0.0,-8596.7,40019.5,370406.6,-971742.4,1068804.8,-74608.5,-451462.3,18582.3,6801.3,-536649.6,41020.8,4928.8,134687.4,0.0,349211.3,60090.6,28291.5,725767.1,-273998.0,260543.7,484030.0,-1284724.9,-154.2,32314.5,-571.1,-380873.8,170624.7,0.0,178659.9
2006,10767.1,11990.3,200978.1,-422186.5,-530862.8,-26135.8,755449.6,-95754.0,76539.6,10.9,25282.6,3763.8,0.0,-9842.9,20323.0,366834.0,-968104.2,1116553.4,-64133.6,-459072.8,-12399.8,5794.3,-533704.2,42932.8,1318.4,131754.8,0.0,351903.9,60965.8,33663.6,725733.9,-271757.0,273168.4,485208.6,-1306983.3,-174.2,44676.7,-1551.5,-449210.9,186309.4,0.0,219950.5
2007,10111.5,14434.2,197931.6,-421173.1,-386651.5,-29572.3,614919.6,-96568.4,68290.9,60.7,35623.6,2264.9,0.0,-9671.7,23447.1,372845.9,-958437.9,1099008.2,-73714.9,-446869.2,-16279.2,3779.6,-550274.1,39758.4,-11087.8,129736.8,0.0,388087.1,61681.7,35998.1,732817.5,-272137.2,188301.0,476441.5,-1223102.6,-169.4,58705.0,-12130.3,-430233.7,140063.7,0.0,243764.7
2008,9477.4,13488.9,201637.3,-429377.3,-254551.9,-42667.0,501992.6,-103829.1,65115.1,88.4,45826.7,1361.4,0.0,-8562.5,31348.5,396161.8,-977401.5,1047894.6,-65334.5,-426556.0,-6112.9,2634.0,-565745.7,38771.2,-23903.6,108965.9,0.0,439278.2,62743.3,35643.9,743139.2,-267466.1,136219.3,469223.0,-1179502.6,-157.4,55336.0,-6234.6,-372974.3,73339.8,0.0,250690.5
2009,8534.7,17095.5,208023.7,-396455.1,-319746.9,-35814.9,518363.0,-105882.9,74023.7,89.0,39266.3,2034.8,0.0,-9530.9,32274.5,445575.6,-993542.2,1048457.1,-66974.0,-437269.3,-28521.7,3288.1,-617237.3,38204.0,-13806.0,115622.4,0.0,473928.8,64495.9,34066.8,753735.5,-262939.1,163960.6,473084.2,-1226403.9,-150.6,46475.7,-6510.0,-414523.2,105103.1,0.0,269605.0
2010,8468.2,18094.0,220014.3,-382770.4,-311585.7,-35308.2,483087.8,-125738.0,78445.8,161.3,54597.2,2067.8,0.0,-9534.1,50854.9,468902.3,-1014486.4,1029416.2,-70397.3,-440990.1,-23299.6,2635.1,-658046.3,35877.8,-19071.4,111685.5,0.0,526919.3,66852.6,30702.9,764901.7,-258936.4,168501.0,476298.3,-1248320.1,-140.0,61901.3,-6468.7,-423235.2,99728.7,0.0,268213.9
