年度,RB,RM,RL,CHI,PSI,RH,FINCOME_N,FINCOME_CB,FINCOME_F,FINCOME_G,FINCOME_H,FINCOME_W,EPSILON_N,EPSILON_F,EPSILON_G,EPSILON_H,EPSILON_W,GAPNL_CB
1994,0.075439,0.037456,0.107907,,,0.0,,,,,,,,,,,,
1995,0.068209,0.02934,0.089416,0.013123,0.053339,0.0,-69849.796084,4256.802501,64552.808913,-9303.820317,21660.019327,-11316.014342,33681.496084,-61668.208913,3717.620317,12783.880673,6454.614342,-5253.002501
1996,0.061633,0.027615,0.082672,0.007971,0.048632,0.0,-60369.204555,4179.985635,60090.531142,-11271.966924,19106.132012,-11735.47731,30610.804555,-56771.931142,5444.166924,12572.167988,5057.77731,-4795.285635
1997,0.053351,0.023564,0.07524,0.008709,0.045744,0.0,-55336.40414,3853.621328,57237.694073,-12052.374974,18980.516115,-12683.052402,25771.10414,-54415.594073,6210.174974,11993.383885,5646.852402,-4067.021328
1998,0.04778,0.019187,0.064894,0.013504,0.042418,0.0,-50858.487009,3820.687697,53139.540697,-11105.293065,17896.677315,-12893.125635,23377.587009,-51185.440697,4352.093065,11903.022685,6849.425635,-2893.087697
1999,0.040719,0.018531,0.064444,0.008875,0.039101,0.0,-41660.303297,3404.70533,47313.88138,-13301.6955,16299.704238,-12056.292151,19290.803297,-45540.28138,6874.4955,10860.095762,5345.392151,-4450.10533
2000,0.030362,0.009741,0.053239,0.004167,0.034914,0.0,-37757.207228,4959.127827,44943.82056,-13476.430746,13354.116018,-12023.426433,22115.407228,-44075.52056,7057.730746,13070.883982,3919.326433,-4219.127827
2001,0.026651,0.007309,0.044361,0.00663,0.033687,0.0,-32044.787163,3978.76777,39647.616618,-11285.062166,10572.06077,-10868.595829,13056.687163,-38127.016618,6929.762166,11325.83923,2766.895829,-2958.56777
2002,0.022339,0.007737,0.039887,0.011834,0.031804,0.0,-27124.170571,3766.916742,32602.807906,-10193.788569,11057.206371,-10108.971878,10735.870571,-31800.407906,6430.888569,9876.493629,2680.471878,-4638.716742
2003,0.018773,0.007167,0.034921,0.012691,0.029365,0.0,-24339.209957,3488.735532,27292.119365,-9692.249016,12114.248747,-8863.644671,11452.709957,-26847.319365,6225.349016,8146.851253,66.044671,-4079.735532
