年度,DUM2000,DUM2001,DUM2007,DUM2008,DUM2009,DUM2014,DUM2020,DUM2022,DUM2023,TIME,W_HOURS,WHMAX,LOAD,GOLD,CONTAX,NEER,YR_W,PW,RH,I_US,LF,N_W
1994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,117.633333,117.882204,124.016667,0.0,3.0,0.919175,100.0,0.697654,0.0,0.074342,6650.0,-0.943253
1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,117.941667,117.29711,124.658333,0.0,3.0,0.945108,103.438455,0.712612,0.0,0.061867,6672.0,-1.897993
1996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,117.458333,116.712015,128.266667,-0.0,3.0,0.8243,107.470608,0.683345,0.0,0.066017,6737.0,-3.050322
1997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,116.058333,116.126921,128.958333,0.0,5.0,0.823725,111.405697,0.699343,0.0,0.061083,6794.0,-3.0396
1998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,114.7,115.541826,119.55,0.0,5.0,0.844975,114.617352,0.685275,0.0,0.051133,6789.0,-3.161484
1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,114.0,114.956732,122.208333,0.0,5.0,0.978767,119.069005,0.751693,0.0,0.060108,6775.0,-3.243793
2000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,114.033333,114.371637,124.691667,792.5,5.0,1.0269,124.040978,0.797901,0.0,0.056717,6772.0,-3.018923
2001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,112.833333,113.786542,113.883333,984.0,5.0,0.938417,127.208604,0.741349,0.0,0.050242,6737.0,-3.0075
2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,112.258333,113.201448,119.725,980.5,5.0,0.932958,131.077232,0.72864,0.0,0.043217,6677.0,-2.75015
2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,112.758333,112.616353,124.525,1083.7,5.0,0.959083,136.531469,0.741371,0.0,0.0404,6662.0,-2.759794
