年度,LF
2024,6916.56
2025,6897.76
2026,6877.41
2027,6854.58
2028,6830.66
2029,6804.4
2030,6777.51
2031,6748.32
2032,6715.95
2033,6681.45
2034,6643.64
2035,6603.16
2036,6562.24
2037,6518.44
2038,6472.5
2039,6426.82
2040,6381.1
2041,6334.96
2042,6288.76
2043,6242.76
2044,6197.09
2045,6151.82
2046,6107.01
2047,6062.67
2048,6018.75
2049,5975.21
2050,5931.98
2051,5888.94
2052,5845.98
2053,5802.96
2054,5759.71
2055,5716.08
2056,5671.93
2057,5627.11
2058,5581.52
2059,5535.04
2060,5487.63
2061,5439.25
2062,5389.88
2063,5339.58
2064,5288.42
2065,5236.51
2066,5184.0
2067,5131.07
2068,5077.93
2069,5024.79
2070,4971.89
