年度,GAPNL_N,GAPNL_F,GAPNL_G,GAPNL_H,GAPNL_W,KCG_N,KCG_F,KCG_G,KCG_H,STR_GAP,YR_GAP
1994,-2019.1,-14529.8,6.4,15547.5,0.0,,,,,4702.5,-13181.4115
1995,6491.6,-10523.0,2604.3,5771.4,0.0,-10898.3,-298.6,-2791.0,-5921.6,4943.2,-11273.7397
1996,-173.4,-10542.3,1295.2,11625.0,0.0,-667.9,-148.0,5840.7,5784.9,5063.0,-10121.2398
1997,9658.2,-9717.4,2483.1,1172.5,0.0,-9939.2,-48.9,2885.8,1245.9,5051.1,-9057.072
1998,14366.2,-7801.3,-918.0,-2903.9,0.1,-14517.5,-19.3,-9355.8,-6821.7,5780.9,-9616.6659
1999,33850.9,-21612.1,865.1,-12674.1,0.0,-11058.6,-84.6,-4473.6,-4343.1,6144.5,-8488.3749
2000,3032.7,3505.4,2772.4,-11868.1,0.1,-6233.2,-288.9,133.8,-944.1,5428.8,-6977.7225
2001,12397.5,-2555.5,-4273.7,-3264.5,0.0,-12200.3,-392.6,-7427.9,-5772.1,5722.6,-6838.7895
2002,-1360.2,-8669.6,3924.9,6561.5,0.1,-9204.7,-310.3,-4227.2,-3990.9,5386.8,-5584.2952
2003,12580.3,-6137.8,-1831.3,-5920.3,0.0,-4200.5,156.0,4633.5,697.0,5754.2,-5044.3571
2004,-3501.2,677.2,-3683.8,1952.8,0.0,-638.6,-112.4,5318.5,1659.0,5689.5,-3653.7865
2005,-12474.2,7243.2,114.1,5222.4,-0.0,6700.4,221.4,5775.5,1654.4,5880.7,-3025.6905
2006,-12271.5,-743.8,3292.8,5997.6,0.0,9042.2,-13.7,5856.2,7673.8,5995.5,-2223.8647
2007,-9945.9,-130.8,4751.9,1926.4,0.0,9886.3,-77.2,12302.0,6637.1,5878.3,-1243.9704
2008,3958.1,1414.0,302.5,-5416.9,0.0,10262.3,-484.4,8349.1,6509.5,5780.1,-894.0346
2009,1829.7,4995.8,4786.5,-14038.4,0.1,-18250.0,-162.0,-14383.3,-12234.4,5837.1,-590.0991
2010,-5704.1,-2968.5,3641.1,1093.7,-0.1,-1468.1,-59.7,4506.1,1040.3,5986.1,-789.4056
2011,-5950.4,2373.6,3202.3,935.2,0.0,-4710.1,-154.6,2053.6,-2911.0,6541.9,-283.5961
2012,-6130.9,-4533.7,3867.5,7324.5,0.0,-2281.2,-94.8,-1150.2,-2568.4,6880.9,-22.1912
2013,-8911.8,-3614.7,4841.6,8334.2,0.0,15037.0,-44.3,12430.4,11620.3,6922.8,36.2927
2014,-8879.1,-11527.1,3123.1,18257.6,0.0,9483.4,467.7,17513.8,11729.1,6359.8,-11.0452
2015,-13668.7,2288.9,4880.3,5352.2,0.0,1148.3,54.8,3622.9,597.8,7017.4,72.8035
2016,-21925.4,6378.3,5834.3,10584.7,0.0,-3515.0,5.5,4633.6,45.3,7392.2,47.7519
2017,-6435.0,-1403.8,6252.1,3778.0,0.1,7214.9,59.6,9746.4,7112.2,7454.9,85.5006
2018,-13605.0,-30.3,3206.5,9745.4,-0.1,6594.2,100.2,9646.6,4311.9,6782.4,180.4122
2019,-6539.8,-922.4,4778.6,878.3,0.0,8032.4,215.2,20301.0,10008.5,7407.4,496.0322
2020,-2608.1,2778.4,2067.1,-1779.7,0.0,-4179.5,-98.6,-3844.4,-2035.0,8520.2,858.6417
2021,-326.8,-2880.8,540.3,2969.3,0.0,37102.6,327.6,24488.7,34760.3,8012.2,1161.4288
2022,4164.6,-5090.2,940.0,-450.6,0.0,39825.0,339.2,28714.5,13630.0,7803.5,1147.0639
2023,20044.1,-13367.4,-4857.3,-4190.7,-0.1,27639.4,348.7,25569.2,1868.0,8306.0,1321.8278
