年度,KTR_N,NP_N,KTR_F,NP_F,KTR_G,NP_G,KTR_H,NP_H,D_F,D_G,KTR_W,STR_W,T_W,STR_F,STR_N,T_F,CPEN_F,CPEN_H,OTR_H,SB2_N,SB2_F,SB2_G,SB2_H,GR,IR_F,IR_G
1994,4631.2,-5057.1,-318.4,-134.0,-1297.2,5169.5,-3205.1,21.6,1404.7,14139.2,189.6,484.0,0.0,2845.1,5398.5,2659.2,3133.1,3133.1,40884.0,0.5512,0.0643,0.064,0.3205,33505.5,1494.2831,29784.755
1995,5239.3,6002.3,-300.8,-581.7,-1960.0,5723.2,-3258.8,-11143.8,1425.7,14726.5,280.4,660.8,0.0,2121.2,6074.3,2607.1,2429.1,2429.1,42176.5,0.5609,0.0619,0.0658,0.3114,34735.9,1643.1589,31696.786
1996,5212.3,-2523.0,357.8,-635.8,-3089.3,5052.0,-2895.6,-1893.1,1506.0,15365.2,414.7,1058.3,0.0,2105.8,5343.6,4243.9,2312.9,2312.9,44674.6,0.5687,0.0661,0.0661,0.2991,35005.0,1810.5263,31203.5088
1997,4062.3,648.5,-314.7,-399.8,-1809.1,4233.6,-2850.7,-4482.3,1661.4,16096.0,912.2,831.0,0.0,976.1,5126.4,2271.4,1172.9,1172.9,45708.8,0.5456,0.067,0.0709,0.3165,36074.8,1931.6421,29296.1255
1998,28067.0,4115.4,985.5,585.8,-28764.1,4743.4,-2397.1,-9444.7,1798.0,16325.6,2108.6,1362.7,0.0,1404.2,4948.2,3443.1,1482.0,1482.0,47690.2,0.5478,0.0667,0.073,0.3124,37006.7,2030.7404,30249.8594
1999,3400.1,3433.6,3300.8,-63.3,-6022.3,4169.7,-2245.3,-7540.0,1924.7,16373.5,1566.7,1057.5,0.0,1050.0,4712.7,2894.6,821.7,821.7,49667.1,0.5409,0.0664,0.0726,0.3201,38144.8,1927.8517,30205.4183
2000,3771.3,4988.1,3485.3,251.3,-5815.3,3878.9,-2093.2,-9118.4,1968.7,16671.2,651.7,875.0,0.0,563.9,4366.2,3418.0,345.1,345.1,51886.8,0.5676,0.0667,0.0709,0.2948,38848.3,2139.3269,28421.4423
2001,3867.9,4706.7,565.1,105.0,-2954.5,3410.7,-1872.1,-8222.4,2000.3,16681.6,393.5,627.2,0.0,1493.6,4398.9,2997.2,1214.7,1214.7,53348.8,0.5472,0.084,0.0736,0.2951,39550.9,2508.6275,27212.2549
2002,3437.5,-4258.1,1309.3,-498.9,-3637.4,2936.8,-1472.3,1820.1,2132.3,16646.3,362.8,976.8,0.0,853.0,4509.9,1873.8,442.3,442.3,52850.7,0.5529,0.0895,0.0716,0.286,40175.2,2524.975,26391.3087
2003,4377.3,1633.7,-3521.1,-413.7,49.4,2929.7,-1465.5,-4149.8,2260.6,16725.3,559.8,684.4,0.0,880.7,5573.6,1450.6,609.0,609.0,53370.7,0.5587,0.0923,0.0695,0.2796,41033.4,2836.5755,24000.8105
